NM_MUNICIPIO_PROPRIEDADE;SG_UF_PROPRIEDADE;NM_CULTURA_GLOBAL;NR_AREA_TOTAL;NR_PRODUTIVIDADE_ESTIMADA;NR_PRODUTIVIDADE_SEGURADA;NivelDeCobertura;VL_LIMITE_GARANTIA;VL_PREMIO_LIQUIDO;PE_TAXA;VL_SUBVENCAO_FEDERAL;ANO_APOLICE;CD_GEOCMU;VALOR_INDENIZAÇÃO;EVENTO_PREPONDERANTE
Nova Roma do Sul;RS;Uva;2;26666,67;26666,67;1,00;78000;1743,3;0,0223;1045,98;2010;4313359;100,35; GRANIZO
Bento Gonçalves;RS;Uva;3;25888,89;25888,89;1,00;60600;2215,93;0,0366;1329,56;2010;4302105;1317,30; GRANIZO
Monte Alegre dos Campos;RS;Maçã;2;40000;40000;1,00;72800;6846,77;0,0940;4108,06;2010;4312377;46530,12; GRANIZO
Monte Alegre dos Campos;RS;Maçã;2;25000;25000;1,00;35000;3291,72;0,0940;1975,03;2010;4312377;9786,00; GRANIZO
Mercedes;PR;Soja;49;2110,8;1055,4;0,50;38397,41;1288,11;0,0335;644,06;2010;4115853;4811,40; GRANIZO
Garibaldi;RS;Uva;4;13833,33;13833,33;1,00;27355;1085,98;0,0397;651,59;2010;4308607;244,53; GRANIZO
Ipê;RS;Maçã;1;25000;25000;1,00;31500;1895,34;0,0602;1137,2;2010;4310439;1890,70; GRANIZO
Flores da Cunha;RS;Uva;4;20833,33;20833,33;1,00;50132;1990,22;0,0397;1194,13;2010;4308201;3687,58; GRANIZO
Fagundes Varela;RS;Uva;1;25000;25000;1,00;18000;658,19;0,0366;394,91;2010;4307864;462,00; GRANIZO
Toledo;PR;Soja;48;2794,2;1676,4;0,60;60041,94;2541,86;0,0423;1270,93;2010;4127700;7505,24; GRANIZO
Cotiporã;RS;Uva;4;18000;18000;1,00;49800;1820,99;0,0366;1092,59;2010;4305959;1485,43; GRANIZO
Fagundes Varela;RS;Uva;1;18333,33;18333,33;1,00;23760;868,81;0,0366;521,29;2010;4307864;1547,14; GRANIZO
Monte Alegre dos Campos;RS;Uva;11;10000;10000;1,00;66000;2620,19;0,0397;1572,11;2010;4312377;23680,17; GRANIZO
Vacaria;RS;Maçã;38;36650;36650;1,00;904830;85098,41;0,0940;51059,05;2010;4322509;524089,27; GRANIZO
Vacaria;RS;Uva;1;6250;6250;1,00;10000;871,2;0,0871;522,72;2010;4322509;5574,38; GRANIZO
Monte Alegre dos Campos;RS;Maçã;0;50000;50000;1,00;9000;846,44;0,0940;507,86;2010;4312377;3718,80; GRANIZO
Monte Alegre dos Campos;RS;Maçã;2;15000;15000;1,00;15000;1410,74;0,0940;846,44;2010;4312377;4006,50; GRANIZO
Flores da Cunha;RS;Uva;5;20000;20000;1,00;57000;2262,89;0,0397;1357,73;2010;4308201;1016,88; GRANIZO
Vacaria;RS;Maçã;0;20000;20000;1,00;8000;752,39;0,0940;451,43;2010;4322509;288,00; GRANIZO
Serranópolis do Iguaçu;PR;Soja;15;3043,8;1521,6;0,50;17174,64;576,15;0,0335;288,08;2010;4126355;439,22; CHUVA EXCESSIVA
Santa Tereza;RS;Uva;4;16750;16750;1,00;35420;1406,17;0,0397;843,7;2010;4317251;812,96; GRANIZO
Bento Gonçalves;RS;Uva;4;25293,33;25293,33;1,00;76810,67;2808,69;0,0366;1685,21;2010;4302105;210,60; GRANIZO
Pilar do Sul;SP;Caqui;1;30000;30000;1,00;63180;7133,02;0,1129;4279,81;2010;3537909;41092,28; GRANIZO
