NM_MUNICIPIO_PROPRIEDADE;SG_UF_PROPRIEDADE;NM_CULTURA_GLOBAL;NR_AREA_TOTAL;NR_PRODUTIVIDADE_ESTIMADA;NR_PRODUTIVIDADE_SEGURADA;NivelDeCobertura;VL_LIMITE_GARANTIA;VL_PREMIO_LIQUIDO;PE_TAXA;VL_SUBVENCAO_FEDERAL;ANO_APOLICE;CD_GEOCMU;VALOR_INDENIZAÇÃO;EVENTO_PREPONDERANTE
Santa Helena;PR;Soja;45;2959;2071,3;0,70;38883,73;3283,98;0,0845;1641,99;2011;4123501;17940,89; SECA
São Miguel do Iguaçu;PR;Soja;315;3245;2109,25;0,65;269102,28;22873,69;0,0850;11436,85;2011;4125704;130546,82; SECA
Vera Cruz do Oeste;PR;Soja;26;3153;2207,1;0,70;22300,78;1621,65;0,0727;810,83;2011;4128559;16054,14; GRANIZO
São Miguel do Iguaçu;PR;Soja;92;3245;2109,25;0,65;87532,57;7440,26;0,0850;3720,13;2011;4125704;47337,57; SECA
Unistalda;RS;Soja;550;2000;1000;0,50;392161;32822,17;0,0837;16411,09;2011;4322376;65440,98; SECA
Dourados;MS;Soja;168;2800;1680;0,60;185391,37;14428,28;0,0778;7214,14;2011;5003702;37115,35; SECA
Dourados;MS;Soja;40;2800;1680;0,60;39199,6;3050,75;0,0778;1525,38;2011;5003702;7659,60; SECA
Arroio Grande;RS;Arroz;120;6250;3125;0,50;209988;4382,35;0,0209;2191,18;2011;4301305;189955,14; GRANIZO
Kaloré;PR;Soja;23;2927;1902,55;0,65;19962,31;1171,7;0,0587;585,85;2011;4113106;6775,21; SECA
Palotina;PR;Soja;206;2068;1137,4;0,55;198162,47;12880,56;0,0650;6440,28;2011;4117909;79680,34; SECA
Palotina;PR;Soja;193;2068;1137,4;0,55;189060,74;12288,94;0,0650;6144,47;2011;4117909;46338,63; SECA
Palotina;PR;Soja;65;2409;1686,3;0,70;62040,74;4342,85;0,0700;2171,43;2011;4117909;54986,34; SECA
Palotina;PR;Soja;81;2764;1658,4;0,60;78606,71;6972,07;0,0887;3486,04;2011;4117909;34504,55; SECA
Rio Branco do Ivaí;PR;Milho 2ª safra;16;2220;1110;0,50;14232,81;1777,55;0,1249;1244,29;2011;4122172;12442,60; GEADA
Caarapó;MS;Milho 2ª safra;350;3060;1530;0,50;271208;49407,02;0,1822;34584,91;2011;5002407;53997,51; GEADA
Santa Maria do Oeste;PR;Milho 1ª safra;12;5500;3575;0,65;16164,06;748,46;0,0463;374,23;2011;4123857;9257,14; SECA
Maringá;PR;Soja;42;2990;2093;0,70;39249;3882,23;0,0989;1941,12;2011;4115200;8034,27; SECA
Maringá;PR;Soja;45;2990;2093;0,70;39951,81;3951,75;0,0989;1975,88;2011;4115200;23982,38; SECA
Itambé;PR;Soja;302;3000;1800;0,60;264382,65;18391,83;0,0696;9195,92;2011;4111100;184221,36; SECA
Catuípe;RS;Soja;100;2000;1000;0,50;74177;7409,63;0,0999;3704,82;2011;4305009;61752,35; SECA
São Sepé;RS;Soja;37;2700;1350;0,50;44129,66;4062,8;0,0921;2031,4;2011;4319604;15820,44; SECA
Toledo;PR;Soja;189;3359;2351,3;0,70;171283,85;12455,31;0,0727;6227,66;2011;4127700;148760,54; SECA
Maracaju;MS;Milho 2ª safra;206;3240;1620;0,50;160578,32;31330,22;0,1951;21931,15;2011;5005400;85250,33; GEADA
Caarapó;MS;Soja;193;3000;1500;0,50;195053,52;12000,03;0,0615;6000,02;2011;5002407;80251,57; SECA
Caarapó;MS;Milho 2ª safra;180;3060;1530;0,50;133619,4;24341,96;0,1822;17039,37;2011;5002407;77459,17; GEADA
Anchieta;SC;Soja;45;3000;1500;0,50;33575,15;1799,19;0,0536;899,6;2011;4200804;16653,18; SECA
Anchieta;SC;Soja;195;3000;1500;0,50;145492,32;7796,49;0,0536;3898,25;2011;4200804;53351,71; SECA
Pouso Redondo;SC;Milho 1ª safra;4;4800;2880;0,60;3586,64;449,88;0,1254;224,94;2011;4213708;2350,68; SECA
Dourados;MS;Soja;400;2800;1680;0,60;392156,87;30520,03;0,0778;15260,02;2011;5003702;287450,35; SECA
Campo Erê;SC;Milho 1ª safra;202;8000;4000;0,50;324007,62;25638,86;0,0791;12819,43;2011;4203501;44768,96; SECA
Tupãssi;PR;Soja;55;3326;2328,2;0,70;47296,43;3439,27;0,0727;1719,64;2011;4127957;31552,44; SECA
Ajuricaba;RS;Soja;50;2500;1250;0,50;42329,45;3897,07;0,0921;1948,54;2011;4300208;6569,46; SECA
Tacuru;MS;Soja;459;2600;1560;0,60;429223,3;33404,76;0,0778;16702,38;2011;5007950;94875,15; SECA
Dourados;MS;Soja;130;2800;1680;0,60;116774,7;9088,11;0,0778;4544,06;2011;5003702;58001,55; SECA
Aral Moreira;MS;Milho 2ª safra;476;3300;1650;0,50;353349,08;55498,85;0,1571;38849,2;2011;5001243;191197,19; GEADA
Caarapó;MS;Soja;155;3000;1500;0,50;158377,45;9743,65;0,0615;4871,83;2011;5002407;50554,08; SECA
São Pedro do Iguaçu;PR;Soja;110;3416;2391,2;0,70;86804,28;6085,73;0,0701;3042,87;2011;4125753;46425,51; SECA
Santa Tereza do Oeste;PR;Soja;40;3348;2343,6;0,70;31168,54;1992,07;0,0639;996,04;2011;4124020;13975,91; SECA
São Luiz Gonzaga;RS;Soja;200;2200;1320;0,60;119893,14;16824,13;0,1403;8412,07;2011;4318903;77138,51; SECA
Tupanciretã;RS;Soja;80;2800;1400;0,50;62745,1;5776,64;0,0921;2888,32;2011;4322202;14776,40; SECA
Palotina;PR;Soja;107;2807;1403,5;0,50;107682,6;7490,96;0,0696;3745,48;2011;4117909;77476,90; SECA
Palotina;PR;Soja;123;3101;2170,7;0,70;103688,65;8768,45;0,0846;4384,23;2011;4117909;68664,60; SECA
Palotina;PR;Soja;32;3101;2170,7;0,70;29007;2452,98;0,0846;1226,49;2011;4117909;22312,18; SECA
Palotina;PR;Soja;29;3101;2170,7;0,70;26306,42;2224,6;0,0846;1112,3;2011;4117909;15331,25; SECA
Palotina;PR;Soja;103;3101;2170,7;0,70;94490,15;7990,58;0,0846;3995,29;2011;4117909;67060,40; SECA
Ponta Porã;MS;Soja;277;2890;1734;0,60;249993,37;17390,84;0,0696;8695,42;2011;5006606;194631,52; SECA
Ubiratã;PR;Soja;46;3263;2284,1;0,70;47242,6;3332,65;0,0705;1666,33;2011;4128005;18592,73; SECA
Marechal Cândido Rondon;PR;Soja;18;2894;2025,8;0,70;15055,94;1094,82;0,0727;547,41;2011;4114609;11290,34; SECA
Aral Moreira;MS;Soja;102;3000;1500;0,50;97439,58;5994,65;0,0615;2997,33;2011;5001243;35527,62; SECA
Entre Rios do Oeste;PR;Soja;17;2959;2071,3;0,70;15747,44;1329,97;0,0845;664,99;2011;4107538;7358,78; SECA
Margarida;PR;Soja;197;2894;2025,8;0,70;161127,98;11716,8;0,0727;5858,4;2011;4114609;98109,81; SECA
Marechal Cândido Rondon;PR;Soja;22;2894;2025,8;0,70;25544,83;1857,55;0,0727;928,78;2011;4114609;11318,83; SECA
Amambaí;MS;Soja;300;3000;1800;0,60;300000;23347,82;0,0778;11673,91;2011;5000609;193550,00; SECA
Iporã;PR;Soja;122;2409;1686,3;0,70;107739,86;7541,79;0,0700;3770,9;2011;4110607;79996,52; SECA
Toledo;PR;Soja;20;3359;2351,3;0,70;18845,12;1370,36;0,0727;685,18;2011;4127700;13083,38; SECA
Assis Chateaubriand;PR;Soja;35;2977;2083,9;0,70;29705,88;2160,13;0,0727;1080,07;2011;4102000;12004,07; SECA
Assis Chateaubriand;PR;Soja;42;2977;2083,9;0,70;37674;2739,55;0,0727;1369,78;2011;4102000;20975,36; SECA
Assis Chateaubriand;PR;Soja;77;2977;2083,9;0,70;75882,36;5517,96;0,0727;2758,98;2011;4102000;22879,89; SECA
Assis Chateaubriand;PR;Soja;31;2977;2083,9;0,70;26781,06;1947,44;0,0727;973,72;2011;4102000;11108,78; SECA
Assis Chateaubriand;PR;Soja;27;3315;2154,75;0,65;23710,62;1499,95;0,0633;749,98;2011;4102000;11174,97; SECA
Assis Chateaubriand;PR;Soja;19;2977;2083,9;0,70;17537;1275,24;0,0727;637,62;2011;4102000;8012,97; SECA
Maripá;PR;Soja;60;3081;2156,7;0,70;53743,2;3908,06;0,0727;1954,03;2011;4115358;27177,94; SECA
Assis Chateaubriand;PR;Soja;160;2977;2083,9;0,70;133140,1;9681,6;0,0727;4840,8;2011;4102000;94169,36; SECA
Brasilândia do Sul;PR;Soja;104;3163;3163;1,00;195503,9;13581,74;0,0695;6790,87;2011;4103370;30010,34; SECA
Brasilândia do Sul;PR;Soja;247;3315;2154,75;0,65;230788,83;14599,9;0,0633;7299,95;2011;4103370;87284,22; SECA
Brasilândia do Sul;PR;Soja;182;2409;1686,3;0,70;166883,06;11681,81;0,0700;5840,91;2011;4103370;79922,84; SECA
Alto Piquiri;PR;Milho 2ª safra;104;2700;1485;0,55;87225,21;19161,1;0,2197;13412,77;2011;4100707;21841,09; GEADA
Assis Chateaubriand;PR;Soja;145;3163;2055,95;0,65;116628,19;7378;0,0633;3689;2011;4102000;63480,07; SECA
Dourados;MS;Soja;94;2800;1680;0,60;87643,1;6820,91;0,0778;3410,46;2011;5003702;16859,21; SECA
Medianeira;PR;Soja;29;3465;2425,5;0,70;29709,85;2160,42;0,0727;1080,21;2011;4115804;22115,85; SECA
Medianeira;PR;Soja;70;3465;2425,5;0,70;77848;5660,9;0,0727;2830,45;2011;4115804;49680,29; SECA
Medianeira;PR;Soja;43;3465;2425,5;0,70;39071,51;2841,17;0,0727;1420,59;2011;4115804;26939,52; SECA
Medianeira;PR;Soja;162;3153;2207,1;0,70;147199,14;10703,93;0,0727;5351,97;2011;4115804;192915,52; GRANIZO
Itahum;MS;Soja;280;2800;1680;0,60;280341,6;21817,88;0,0778;10908,94;2011;5003702;97650,31; SECA
Lagoa dos Três Cantos;RS;Milho 1ª safra;15;6000;3600;0,60;16891,18;1863,53;0,1103;931,77;2011;4311270;9675,19; SECA
Vitorino;PR;Soja;16;2884;2018,8;0,70;13769,17;854,58;0,0621;427,29;2011;4128708;4492,88; SECA
Vitorino;PR;Soja;35;3575;2502,5;0,70;30266,59;1878,5;0,0621;939,25;2011;4128708;5061,77; SECA
Chapada;RS;Milho 1ª safra;65;8000;4800;0,60;103750,83;13713,15;0,1322;6856,58;2011;4305306;37474,64; SECA
Porto Amazonas;PR;Soja;75;3060;2142;0,70;68524,5;4252,98;0,0621;2126,49;2011;4120101;5858,84; SECA
Tapera;RS;Milho 1ª safra;35;7000;4200;0,60;37505,05;4203,01;0,1121;2101,51;2011;4321006;18744,97; SECA
Mamborê;PR;Soja;237;3191;2233,7;0,70;228485,09;15298,56;0,0670;7649,28;2011;4114005;31832,11; SECA
Peabiru;PR;Soja;105;3315;2320,5;0,70;94656,92;7099,26;0,0750;3549,63;2011;4118808;40527,36; SECA
Santiago;RS;Soja;74;2200;1100;0,50;53921,57;5925,51;0,1099;2962,76;2011;4317400;24507,02; SECA
Maringá;PR;Soja;52;2990;2093;0,70;45033,85;4454,43;0,0989;2227,22;2011;4115200;13982,89; SECA
Mamborê;PR;Soja;43;3191;2233,7;0,70;46511,56;3114,25;0,0670;1557,13;2011;4114005;11981,28; SECA
Paiçandu;PR;Soja;120;3087;2160,9;0,70;112629,36;8447,2;0,0750;4223,6;2011;4117503;71194,52; SECA
Pinhal Grande;RS;Soja;180;2800;1680;0,60;146943;15780,4;0,1074;7890,2;2011;4314472;39607,02; SECA
Pantano Grande;RS;Soja;224;2600;1300;0,50;171395,02;12593,8;0,0735;6296,9;2011;4313953;73167,93; SECA
Mamborê;PR;Soja;197;3191;2233,7;0,70;158784,09;10631,63;0,0670;5315,82;2011;4114005;48266,93; SECA
Mamborê;PR;Milho 1ª safra;24;7440;4464;0,60;32492,72;1214,94;0,0374;607,47;2011;4114005;10488,61; SECA
Ibirubá;RS;Soja;70;2700;1755;0,65;51979,9;7028,58;0,1352;3514,29;2011;4310009;41318,82; SECA
Lagoa Vermelha;RS;Milho 1ª safra;24;7000;3500;0,50;27690;2678,7;0,0967;1339,35;2011;4311304;8979,87; SECA
Ivaté;PR;Soja;185;1900;950;0,50;169344,11;10970,55;0,0648;5485,28;2011;4111555;99828,02; SECA
Pinhal Grande;RS;Soja;70;2400;1440;0,60;58690;6615,38;0,1127;3307,69;2011;4314472;32807,37; SECA
Quinta do Sol;PR;Soja;62;3020;2114;0,70;54639,1;4097,93;0,0750;2048,97;2011;4121109;32411,91; SECA
Quinta do Sol;PR;Soja;45;3009;2106,3;0,70;40009,95;3000,74;0,0750;1500,37;2011;4121109;15904,65; SECA
Chapadinha;MA;Soja;205;3001;3001;1,00;255358,25;27553,05;0,1079;13776,53;2011;2103208;81120,62; SECA
Mandaguaçu;PR;Soja;24;2807;1964,9;0,70;18391,92;1603,29;0,0872;801,65;2011;4114104;12691,54; SECA
Giruá;RS;Soja;59;2300;1150;0,50;49360,26;4544,36;0,0921;2272,18;2011;4309001;6115,70; SECA
Canoinhas;SC;Milho 1ª safra;125;8000;5200;0,65;189008,75;26933,74;0,1425;13466,87;2011;4203808;24476,63; GRANIZO
Anchieta;SC;Soja;49;3000;1950;0,65;51483,16;5148,31;0,1000;2574,16;2011;4200804;9900,54; SECA
Santa Helena;PR;Soja;5;2959;2071,3;0,70;4993,49;421,73;0,0845;210,87;2011;4123501;3349,63; SECA
Carazinho;RS;Soja;95;3000;1800;0,60;71249,82;8031,09;0,1127;4015,55;2011;4304705;11228,85; SECA
Brasilândia do Sul;PR;Soja;24;3315;2154,75;0,65;23281,85;1472,83;0,0633;736,42;2011;4103370;8828,39; SECA
São Jorge do Ivaí;PR;Soja;145;2520;1386;0,55;130820,84;8176,3;0,0625;4088,15;2011;4125308;44177,71; SECA
Figueira do Oeste;PR;Soja;38;3116;2181,2;0,70;33297,7;2497,32;0,0750;1248,66;2011;4127205;5194,78; SECA
Lobato;PR;Soja;67;2800;2800;1,00;62325,72;6136,51;0,0985;3068,26;2011;4113601;43072,98; SECA
Paiçandu;PR;Soja;248;2575;1802,5;0,70;241385,76;22328,18;0,0925;11164,09;2011;4117503;73071,58; SECA
Capão do Cipó;RS;Soja;478;2600;1300;0,50;408774,51;37633,91;0,0921;18816,96;2011;4304655;79638,07; SECA
São Miguel do Iguaçu;PR;Soja;100;3245;2109,25;0,65;91935,4;7814,5;0,0850;3907,25;2011;4125704;51125,27; SECA
Vitorino;PR;Milho 1ª safra;25;8880;5328;0,60;35645,25;1534,29;0,0430;767,15;2011;4128708;3838,82; SECA
Manoel Viana;RS;Soja;70;2600;1300;0,50;39106,8;4297,49;0,1099;2148,75;2011;4311759;19768,18; SECA
São Pedro do Sul;RS;Soja;10;2200;1100;0,50;9901;588,67;0,0595;294,34;2011;4319406;8838,89; SECA
São Luiz Gonzaga;RS;Soja;240;2200;1320;0,60;186818,63;26215,52;0,1403;13107,76;2011;4318903;156180,18; SECA
Cruz Alta;RS;Soja;200;2700;1755;0,65;141782;19171,39;0,1352;9585,7;2011;4306106;84099,75; SECA
Cruz Alta;RS;Milho 1ª safra;30;7000;4550;0,65;44502,69;6665,72;0,1498;3332,86;2011;4306106;27720,67; SECA
Quatro Pontes;PR;Soja;22;3153;2207,1;0,70;17509,36;1273,23;0,0727;636,62;2011;4120853;10391,81; SECA
Toledo;PR;Soja;87;3359;2351,3;0,70;70301,31;5112,12;0,0727;2556,06;2011;4127700;31820,19; SECA
Assis Chateaubriand;PR;Soja;147;2977;2083,9;0,70;117594;8551,12;0,0727;4275,56;2011;4102000;85086,06; GRANIZO
Toledo;PR;Soja;8;3359;2351,3;0,70;6845,72;497,8;0,0727;248,9;2011;4127700;4607,99; SECA
Santa Izabel do Oeste;PR;Soja;14;2751;1925,7;0,70;10879,53;1281,89;0,1178;640,95;2011;4123808;7483,94; SECA
Realeza;PR;Soja;23;2791;1953,7;0,70;18864,54;1509,16;0,0800;754,58;2011;4121406;11494,16; SECA
Três Barras do Paraná;PR;Soja;17;3000;2100;0,70;16756,82;1218,51;0,0727;609,26;2011;4127858;8059,99; SECA
Ibema;PR;Milho 1ª safra;19;7115;4624,75;0,65;27194,9;1380,43;0,0508;690,22;2011;4109757;14432,28; SECA
Ibema;PR;Soja;22;3000;2100;0,70;21756,9;1350,34;0,0621;675,17;2011;4109757;11476,76; SECA
Francisco Alves;PR;Soja;15;2764;1658,4;0,60;15495,63;1374,39;0,0887;687,2;2011;4108320;6235,44; SECA
Francisco Alves;PR;Soja;72;2764;1658,4;0,60;71489,22;6340,78;0,0887;3170,39;2011;4108320;49978,11; SECA
Nova Santa Rosa;PR;Soja;52;3200;2240;0,70;48620;3963,58;0,0815;1981,79;2011;4117222;28296,84; SECA
Aral Moreira;MS;Milho 2ª safra;120;3300;1650;0,50;106144;16671,53;0,1571;11670,07;2011;5001243;55008,72; GEADA
Aral Moreira;MS;Soja;200;3000;1800;0,60;211584,2;13316;0,0629;6658;2011;5001243;50943,37; SECA
Mercedes;PR;Soja;30;2678;0;0,00;47138,58;3568,82;0,0757;1784,41;2011;4115853;15145,30; SECA
Chapada;RS;Soja;47;3000;1800;0,60;42300;4767,94;0,1127;2383,97;2011;4305306;11987,82; SECA
Campo Erê;SC;Milho 1ª safra;30;8000;5600;0,70;50330;8966,39;0,1782;4483,2;2011;4203501;23871,42; SECA
Quinta do Sol;PR;Soja;480;3020;2114;0,70;441169,2;33087,69;0,0750;16543,85;2011;4121109;31424,08; SECA
Cachoeira do Sul;RS;Soja;200;2580;1548;0,60;146948;15780,93;0,1074;7890,47;2011;4303004;121320,27; SECA
Toledo;PR;Soja;66;3359;2351,3;0,70;55623,66;4044,8;0,0727;2022,4;2011;4127700;31964,40; SECA
Guamiranga;PR;Milho 1ª safra;7;5250;3412,5;0,65;8198,72;416,17;0,0508;208,09;2011;4108957;2640,81; SECA
Palotina;PR;Soja;49;3101;2170,7;0,70;45018,67;3807,01;0,0846;1903,51;2011;4117909;23242,93; SECA
Palotina;PR;Soja;70;3101;2170,7;0,70;64569,9;5460,36;0,0846;2730,18;2011;4117909;46145,75; SECA
Francisco Alves;PR;Soja;263;2764;1658,4;0,60;256661,14;22764,72;0,0887;11382,36;2011;4108320;157643,85; SECA
Palotina;PR;Soja;90;3101;2170,7;0,70;98981,1;8370,35;0,0846;4185,18;2011;4117909;55717,05; SECA
Campina da Lagoa;PR;Soja;58;3218;2252,6;0,70;54123,97;3818,09;0,0705;1909,05;2011;4103909;26731,77; SECA
Guaíra;PR;Soja;190;2772;1663,2;0,60;190879,1;17760,05;0,0930;8880,03;2011;4108809;141478,40; SECA
Guaíra;PR;Soja;49;2772;1801,8;0,65;54827,39;6579,28;0,1200;3289,64;2011;4108809;30900,57; SECA
Guaíra;PR;Soja;13;2807;1824,55;0,65;14524,56;1597,7;0,1100;798,85;2011;4108809;8303,65; SECA
Três Barras do Paraná;PR;Soja;38;3000;2100;0,70;35461,8;2578,68;0,0727;1289,34;2011;4127858;16039,28; SECA
Vera Cruz do Oeste;PR;Soja;58;3153;2207,1;0,70;54263,31;3945,88;0,0727;1972,94;2011;4128559;56334,34; GRANIZO
Vera Cruz do Oeste;PR;Milho 1ª safra;20;7600;5320;0,70;25533,8;1337,74;0,0524;668,87;2011;4128559;1892,05; CHUVA EXCESSIVA
Três Barras do Paraná;PR;Soja;15;3000;2100;0,70;13459,35;978,72;0,0727;489,36;2011;4127858;7883,14; SECA
Cruz Alta;RS;Soja;280;2610;1305;0,50;176470,59;12966,75;0,0735;6483,38;2011;4306106;22852,87; SECA
Barbosa Ferraz;PR;Soja;166;3103;2172,1;0,70;117645,86;8823,43;0,0750;4411,72;2011;4102505;37058,45; SECA
São Miguel do Iguaçu;PR;Soja;84;3245;2109,25;0,65;80559,39;6847,54;0,0850;3423,77;2011;4125704;32602,00; SECA
Laguna Carapã;MS;Milho 2ª safra;59;3300;1650;0,50;48466,73;9456,28;0,1951;6619,4;2011;5005251;14616,44; GEADA
Barbosa Ferraz;PR;Soja;39;3175;2222,5;0,70;36128,82;2709,66;0,0750;1354,83;2011;4102505;11628,73; SECA
Rancho Alegre d'Oeste;PR;Soja;175;3030;2121;0,70;198721,77;12528,11;0,0630;6264,06;2011;4121356;60899,77; SECA
Laguna Carapã;MS;Soja;345;2750;1650;0,60;303600;21120;0,0696;10560;2011;5005251;211179,18; GRANIZO
Mariópolis;PR;Milho 1ª safra;35;7878;5120,7;0,65;51044;2591,03;0,0508;1295,52;2011;4115309;11566,57; SECA
Clevelândia;PR;Soja;45;3166;2216,2;0,70;36762,75;2425,54;0,0660;1212,77;2011;4105706;17940,22; SECA
Serranópolis do Iguaçu;PR;Soja;25;3317;2321,9;0,70;22409,25;1629,54;0,0727;814,77;2011;4126355;14796,89; SECA
Jaguapitã;PR;Soja;60;2678;1606,8;0,60;51839,36;2158,09;0,0416;1079,05;2011;4111902;11850,35; SECA
Capão do Cipó;RS;Soja;160;2566;1411,3;0,55;112461,38;11502,84;0,1023;5751,42;2011;4304655;99662,76; SECA
Capão do Cipó;RS;Soja;160;2566;1411,3;0,55;112461,38;11502,84;0,1023;5751,42;2011;4304655;84901,02; SECA
Casca;RS;Soja;250;3000;1500;0,50;183162,5;12821,37;0,0700;6410,69;2011;4304903;32254,92; SECA
Esmeralda;RS;Milho 1ª safra;164;7000;3500;0,50;175127,4;16066,03;0,0917;8033,02;2011;4307401;51820,20; SECA
Casca;RS;Soja;72;3000;1650;0,55;51418,8;4800,95;0,0934;2400,48;2011;4304903;33252,54; SECA
Dourados;MS;Soja;44;2800;1680;0,60;39306,1;3059,03;0,0778;1529,52;2011;5003702;26503,06; SECA
Janiópolis;PR;Soja;53;3015;2110,5;0,70;45283,72;3194,47;0,0705;1597,24;2011;4112207;31859,56; SECA
Mundo Novo;MS;Soja;167;2800;1680;0,60;173652,1;12250,02;0,0705;6125,01;2011;5005681;106492,74; SECA
Pedrinhas Paulista;SP;Soja;17;2860;2002;0,70;15176,89;1187,75;0,0783;593,88;2011;3537156;3147,66; SECA
Caarapó;MS;Milho 2ª safra;24;3060;1530;0,50;17815,68;3245,55;0,1822;2271,89;2011;5002407;13099,87; GEADA
Cruzmaltina;PR;Soja;19;3250;2275;0,70;16394,58;1186,82;0,0724;593,41;2011;4106852;7890,71; SECA
São Miguel do Iguaçu;PR;Soja;35;3245;2109,25;0,65;30488,09;2591,48;0,0850;1295,74;2011;4125704;17957,29; SECA
Floresta;PR;Milho 2ª safra;155;3404;1872,2;0,55;131089,34;16215,18;0,1237;11350,63;2011;4107900;61231,23; GEADA
Floresta;PR;Soja;187;2913;1747,8;0,60;186761,01;12707,86;0,0680;6353,93;2011;4107900;31114,13; SECA
Nova Veneza;SC;Arroz;40;7700;5775;0,75;69607,85;3200,44;0,0460;1600,22;2011;4211603;30307,76; GRANIZO
Carazinho;RS;Soja;130;3000;1800;0,60;108093,73;12184,04;0,1127;6092,02;2011;4304705;38384,07; SECA
Carazinho;RS;Milho 1ª safra;50;8000;4800;0,60;79808,33;10548,57;0,1322;5274,29;2011;4304705;36161,00; SECA
Engenheiro Beltrão;PR;Soja;87;3020;2114;0,70;73620,76;5521,55;0,0750;2760,78;2011;4107504;38349,05; SECA
Mandaguaçu;PR;Soja;65;2807;1964,9;0,70;51580,1;4496,43;0,0872;2248,22;2011;4114104;29410,97; SECA
Itambé;PR;Soja;13;3043;1977,95;0,65;12501,51;1125,13;0,0900;562,57;2011;4111100;7258,35; SECA
Itambé;PR;Soja;105;3043;1977,95;0,65;98572,4;8871,51;0,0900;4435,76;2011;4111100;53169,68; SECA
São Desidério;BA;Soja;311;3120;1560;0,50;384728,77;25467,37;0,0662;12733,69;2011;2928901;217793,48; SECA
Palmeira das Missões;RS;Soja;76;3000;1500;0,50;45600;4198,17;0,0921;2099,09;2011;4313706;23807,15; SECA
Pato Branco;PR;Milho 1ª safra;12;7646;4969,9;0,65;17109,72;868,5;0,0508;434,25;2011;4118501;3740,18; SECA
Barbosa Ferraz;PR;Soja;45;3175;2222,5;0,70;40038,72;3002,9;0,0750;1501,45;2011;4102505;25516,51; SECA
Céu Azul;PR;Soja;160;3120;3120;1,00;185512,96;30959,21;0,1669;15479,61;2011;4105300;153495,92; SECA
São José do Cedro;SC;Milho 1ª safra;45;8000;4000;0,50;62532,45;6756,22;0,1080;3378,11;2011;4216701;23389,22; SECA
Peabiru;PR;Soja;66;3560;2492;0,70;61258,15;4594,36;0,0750;2297,18;2011;4118808;37696,68; SECA
Estrela Velha;RS;Soja;144;2910;1891,5;0,65;100990,1;13007,96;0,1288;6503,98;2011;4307815;24319,84; SECA
Ibirubá;RS;Soja;180;2800;1400;0,50;122477,4;11275,9;0,0921;5637,95;2011;4310009;10450,04; SECA
Augusto Pestana;RS;Soja;255;2400;1320;0,55;199563;24359,7;0,1221;12179,85;2011;4301503;107845,66; SECA
Victor Graeff;RS;Milho 1ª safra;48;7000;4200;0,60;58464,48;6062,51;0,1037;3031,26;2011;4323200;17071,63; SECA
Itaquiraí;MS;Soja;242;3000;1800;0,60;206383,75;14559,02;0,0705;7279,51;2011;5004601;139039,85; SECA
Floresta;PR;Soja;31;2913;1747,8;0,60;31312;2130,57;0,0680;1065,29;2011;4107900;6894,87; SECA
Araruna;PR;Trigo;48;1964;1178,4;0,60;42609,25;6720,21;0,1577;4704,15;2011;4101705;10829,46; GEADA
Floresta;PR;Milho 2ª safra;31;3404;1872,2;0,55;29358,61;3631,53;0,1237;2542,07;2011;4107900;4038,73; GEADA
Assis Chateaubriand;PR;Soja;50;2977;2083,9;0,70;49019,61;3564,57;0,0727;1782,29;2011;4102000;26817,16; SECA
Maracaju;MS;Soja;215;3000;2100;0,70;202194,6;15845,9;0,0784;7922,95;2011;5005400;100062,99; GRANIZO
Vera Cruz do Oeste;PR;Soja;18;3153;2207,1;0,70;16776,5;1219,94;0,0727;609,97;2011;4128559;9656,10; SECA
Dourados;MS;Soja;249;2800;1680;0,60;252941,18;19685,42;0,0778;9842,71;2011;5003702;85916,51; SECA
Dourados;MS;Soja;259;2800;1680;0,60;247801,17;19285,39;0,0778;9642,7;2011;5003702;167377,78; SECA
Santa Terezinha de Itaipu;PR;Soja;67;3104;2017,6;0,65;66579,84;6990,88;0,1050;3495,44;2011;4124053;17130,86; SECA
Caarapó;MS;Milho 2ª safra;70;3060;1530;0,50;62463,8;11379,27;0,1822;7965,49;2011;5002407;15922,02; GEADA
Pranchita;PR;Soja;130;3000;1950;0,65;99509,5;4813,23;0,0484;2406,62;2011;4120358;45196,76; SECA
Rio Brilhante;MS;Soja;489;3000;1800;0,60;462523,66;29108,82;0,0629;14554,41;2011;5007208;152984,30; SECA
Ponta Porã;MS;Soja;445;3000;1800;0,60;391599,85;27241,72;0,0696;13620,86;2011;5006606;265126,90; SECA
Caarapó;MS;Milho 2ª safra;126;3060;1530;0,50;109606,14;19967,37;0,1822;13977,16;2011;5002407;52672,55; VENTOS FORTES/FRIOS
Caarapó;MS;Milho 2ª safra;174;3060;1530;0,50;155267,16;28285,62;0,1822;19799,93;2011;5002407;95289,66; GEADA
Itaporã;MS;Soja;160;2900;1740;0,60;159273,6;10023,84;0,0629;5011,92;2011;5004502;1544,95; SECA
Laguna Carapã;MS;Soja;331;2750;1650;0,60;316200,99;21996,59;0,0696;10998,3;2011;5005251;71086,79; SECA
Rolândia;PR;Trigo;65;2258;1354,8;0,60;57227,57;8988,46;0,1571;6291,92;2011;4122404;5419,43; GEADA
Dourados;MS;Soja;154;2800;1680;0,60;147112,14;11449,16;0,0778;5724,58;2011;5003702;98439,54; SECA
Mandaguaçu;PR;Soja;157;2807;1964,9;0,70;133620,05;11648,18;0,0872;5824,09;2011;4114104;61758,47; SECA
